Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
191,B1," Green, J. Ronald",Straight Lick: The Cinema of Oscar Micheaux,Bloomington: University of Indiana,2000," ISBN-13: 9780253337535
ISBN-10: 0253337534"," Film/Cinema
Scholarly monograph",,,,
192,B1," Hunter, Christopher",The Days and Months We Were First Born-The Consoldiated Edition,Self Published,2010,ISBN-13: 9781467970594,Fiction,,,,
193,B1," Wideman, John Edgar",The Stories of John Edgar Wideman,New York: Pantheon Books,1992," ISBN-13: 9780679407195 ISBN-
10: 0679407197"," Fiction
Short Stories",,,,
194,B1," Buick, Pai Kirsten",Child of the Fire: Mary Edmonia Lewis and the Problem of Art History's Black and Indian Subject,Durham: Duke University Press,2010,ISBN-13: 9780822342663," Art History
African American Studies Native American Studies Women artists
Scholarly monograph",,,,
195,B1," Ellis, Alfred Burton"," History of the Yoruba People: Their Religion, Manners, Customs, Laws, Language, Etc.",,2017," ISBN-13: 9781503245136
ISBN-10: 1503245136",African culture History,,,,
196,B2," Harris, Oscar and Ann Kimbrough",Oscar: The Memoir of a Master Architect,Atlanta: Sugar Top Publishing,2013," ISBN-13: 9780615872865
ISBN-10: 0615872867"," Architecture Biography
Signed by the architect",,,,
197,B1," Alexander, Elizabeth and Lorna Simpson",Lorna Simpson Collages,San Francisco: Chronicle Books,2018," ISBN-13: 9781452161143
ISBN-10: 1452161143"," African American Art History Artist monograph
Women artists",,,,
198,B2," Baker, Christina N.",Contemporary Black Women Filmmakers and the Art of Resistance,Columbus: Ohio State University Press,2018," ISBN-13: 9780814254998
ISBN-10: 0814254993"," Film/Cinema Performance Scholarly monograph
Women artists",,,,
199,E2," Gorman, Amanda and Loren Long",Change Sings: A Childen's Anthem,New York: Viking,2021," ISBN-13: 9780593203224
ISBN-10: 0593203224"," Poetry
Children's literature Picture book",,,,
200,B2," Kelley, Robin D.G.",Freedom Dreams: The Black Radical Imagination,Boston: Beacon Press,2002," ISBN-13: 9780807009772
ISBN-10: 0807009776",African American Studies African American History Civil Rights Movement,,,,
201,B2," Mileaf, Janine and Fred Moten",Jennie C. Jones: Constant Structure,Chicago: The Arts Club of Chicago,2020," ISBN-13: 9781891925023
ISBN-10: 1891925024"," Artist brochure Exhibition catalogue Sound art
Women artists",,https://www.artsclubchicago.org/exhibition/constant-structures/#%3A~%3Atext%3DJones%20presents%20a%20new%20body%2Ctones%20into%20a%20cohesive%20entity,,
202,B2," Crabtree, Charlotte, Gary B. Nash,
and Ross E. Dunn"," History on Trial: Culture Wars and the
Teaching of the Past",New York: Vintage Books,2000," ISBN-13: 9780679767503
ISBN-10: 0679767509"," History
Education",,,,
203,B1," Siegel, Katy, ed.",Jack Whitten: Notes from the Woodshed,Zurich: Hauser & Wirth Publishers,2018," ISBN-13: 9783906915173
ISBN-10: 3906915174"," Artist writings
Biography",,,,
204,B1," Spillers, Hortense J."," Black, White, and in Color: Essays on American
Literature and Culture",Chicago: University of Chicago,2003," ISBN-13: 9780226769806
ISBN-10: 0226769801"," African American Studies
Literary criticism",,,,
205,B1," Audre, Lorde",Sister Outsider: Essays and Speeches,Berkeley: Crossing Press,2007," ISBN-13: 9781580911863
ISBN-10: 1580911862"," African American Studies Women's Studies
Black Feminism
Originally published 1984",,,,
206,B2," Coleman, Beth, Chris Ofili, and
Susanna Paisley",Chris Ofili: The Upper Room,London: Victoria Miro Gallery,2002," ISBN-13: 9780954308506
ISBN-10: 0954308506"," Artist monograph
Exhibition catalogue",," https://www.victoria-miro.
com/artists/6-chris- ofili/works/artworks5237/ https://www.adjaye.com/work/the- upper-room/
https://www.tate.org. uk/art/artworks/ofili-the-upper-room-
t11925",,
207,B1," Iskin, Ruth E., ed.",Re-envisioning the Contemporary Art Canon: Perspectives in a Global World,Abingdon; New York: Routledge,2017," ISBN-13: 9781138192683
ISBN-10: 1138192686"," Contemporary Art
Essays Globalization",,,,
208,B1," Gorman, Amanda",Call Us What We Carry: Poems,New York: Viking,2021," ISBN-13: 9780593465066
ISBN-10: 0593465067",Poetry Women artists,,,,
209,B1," Golden, Thelma"," Black Romantic: The Figurative Impulse in
Contemporary African-American Art",New York: Studio Museum in Harlem,2002," ISBN-13: 9780942949230
ISBN-10: 0942949234"," African American Art History
Exhibition catalogue",,,,
210,B1," Snorton, C. Riley and Hentyle Yapp, eds."," Saturation: Race, Art, and the Circulation of Value",Cambridge: MIT Press; New York: New Museum,2020," ISBN-13: 9780262043687
ISBN-10: 0262043688",Contemporary Art Essays,,,,
211,B1," Cameron, Will and Saul Ostrow, eds.",Fragments of the Peculiar Institution: A Project of the Artist Dread Scott,New York: CPInPrint; Cameron + Brown,2015,ISBN-13: 9780692731284," Artist monograph Artist book
signed by the artist",,,,
212,B1," Scott, Joyce J."," Stop Asking, We Exist: 25 African-American
Craft Artists"," Pittsburgh: Society for Contemporary
Craft",1998," ISBN-13: 9780966868814 ISBN-
10: 0966868811"," Exhibition catalogue
Craft
signed by the artist Thad Mosley",,,,
213,B1," Gabriel, Mary"," Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the
Movement that Changed Modern Art"," New York: Little, Brown and Company",2019," ISBN-13: 9780316226172
ISBN-10: 0316226173",Biography Women artists,,,,
214,B1," Sherman, Joan R."," African-American Poetry: An Anthology, 1773- 1927",Garden City: Dover Publications,1997," ISBN-13: 9780486296043
ISBN-10: 0486296040",Poetry,,,,
215,B1," Franklin, John Hope and Alvia J.
Wardlaw"," Collecting African American Art: The Museum
of Fine Arts, Houston"," Houston: Museum of Fine Arts,
Houston",2009," ISBN-13: 9780300152913
ISBN-10: 0300152914",African American Art History,,,,
216,B1," Clark, Vicky A."," Popular Salon of the People: Associated Artists of Pittsburgh, 1910-2006",Pittsburgh: Carnegie Museum of Art,2007," ISBN-13: 9780880390507
ISBN-10: 0880390506",Exhibition catalogue Pittsburgh,,,,
217,B1," Jones, Kellie",Eyeminded: Living and Writing Contemporary Art,Durham: Duke University Press,2011,ISBN-13: 9780822348733," African American Art History Essays
Signed by the author",,,,
218,B1," Newman, Brooke E."," A Dark Inheritance: Blood, Race, and Sex in
Colonial Jamaica",New Haven: Yale University Press,2018," ISBN-13: 9780300225556
ISBN-10: 0300225555"," History
Scholarly monograph",,,,
219,B2," Myers-Szupinska, J. and Amanda
Nudelman, eds.",Black Light," San Francisco: California College of the
Arts",2018,ISBN-13: 9780975350713,Exhibition catalogue,,,,
220,B2," Freeburg, Christopher",Black Aesthetics and the Interior Life," Charlottesville: University of Virginia
Press",2017,ISBN-13: 9780813940328," African American Studies
Literary criticism",,,,
221,B2," Neal, Mark Anthony",Looking for Leroy: Illegible Black Masculinities,New York: New York University Press,2013,ISBN-13: 9780814758366," African American Studies
Cultural Studies",,,,
222,B2," Perry, Imani",Looking for Lorraine: The Radiant and Radical Life of Lorraine Hansberry,Boston: Beacon Press,2018,ISBN-13: 9780807039830," African American History Biography
Women artists",,,,
223,B2," Wallace, Michele",Dark Designs and Visual Culture,Durham: Duke University Press,2004," ISBN-13: 9780822334132
ISBN-10: 0822334135"," African American Studies
Women's Studies Cultural criticism",,,,
224,B2," D'Souza, Aruna"," Whitewalling: Art, Race & Protest in 3 Acts",New York: Badlands Unlimited,2018," ISBN-13: 9781943263141
ISBN-10: 1943263140"," African American Art History Contemporary Art
History",,,,
225,B2," Hart, Rebecca R.",Jordan Casteel: Returning the Gaze,Denver: Denver Art Museum,2019," ISBN-13: 9780914738831
ISBN-10: 0914738836"," Artist monograph
Exhibition catalogue Painting",," https://www.denverartmuseum.
org/en/exhibitions/jordan-casteel- returning-gaze https://museum.stanford. edu/exhibitions/jordan-casteel- returning-gaze",,
226,B2," Bracey Jr., John H., Sonia Sanchez, and James Smethurst, eds.",SOS - Calling All Black People: A Black Arts Movement Reader,Boston: University of Massachusetts Press,2014,ISBN-13: 9781625340313," African American History African American Literature Black Arts Movement
Anthology",,,,
227,B2," Wallace, Michele"," Black Macho and the Myth of the
Superwoman",New York: Dial Press,1979," ISBN-13: 9780803709348
ISBN-10: 080370934X"," Black Feminism
Cultural criticism",,,,
228,B2," Diaz, José Carlos",Farhad Moshiri: Go West,Pittsburgh: The Andy Warhol Museum,2017," ISBN-13: 9780985535094
ISBN-10: 0985535091"," Artist monograph
Exhibition catalogue",," https://www.warhol.
org/exhibition/farhad-moshiri-go-west/",,
229,B2," Cahan, Susan E."," Mounting Frustration: The Art Museum in the
Age of Black Power",Durham: Duke University Press,2016,ISBN-13: 9780822358978," African American Art History
Museums",,,,
230,B2," Martinson, Suzanne, Jane Citron, and Robert Sendall",The Fallingwater Cookbook: Elsie Henderson's Recipes and Memories,Pittsburgh: University of Pittsburgh Press,2008,ISBN-13: 9780822943570 ISBN-10:0822943573," African American History Cookbook
Architecture",,,,
231,C1," McKinley, Catherine E."," The African Lookbook: A Visual History of 100
Years of African Women",New York: Bloomsbury Publishing,2021," ISBN-13: 9781620403532
ISBN-10: 1620403536"," African culture
History Photography Fashion",,,,
232,B2," Beck, Jessica"," Devan Shimoyama: Cry, Baby",Pittsburgh: The Andy Warhol Museum,2018," ISBN-13: 9780985535056
ISBN-10: 0985535059"," Artist monograph
Exhibition catalogue",,,,
233,B2," Haynes, Lauren"," Speaking of of People: Ebony, Jet, and Contemporary Art",New York: Studio Museum in Harlem,2014," ISBN-13: 9780942949414
ISBN-10: 0942949412",Exhibition catalogue African American magazines/periodicals,,https://studiomuseum. org/exhibition/speaking-people-ebony- jet-and-contemporary-art,,
234,B2," Mercer, Valerie J.",Art of Rebellion: Black Art of the Civil Rights Movement,Detroit: Detroit Institute of Arts,2017," ISBN-13: 9780895581754,
ISBN-10: 0895581752"," Exhibition catalogue
African American Art History Civil Rights Movement
Black Arts Movement",,,,
235,B2," Ward, Andrew",Dark Midnight When I Rise: The Story of the Jubilee Singers Who Introduced the World to the Music of Black America," New York: Farrar, Straus and Giroux",2000," ISBN-13: 9780374187712
ISBN-10: 0374187711",African American History Music,,,,
236,B2," Butler, Connie",Mark Bradford: Scorched Earth," Los Angeles: Hammer Museum,
University of California, Los Angeles; New York: DelMonico Books/Prestel",2015," ISBN-13: 9783791354293
ISBN-10: 3791354299"," Artist monograph
Exhibition catalogue",,,,
237,B2," Ketner, Joseph D."," The Emergence of the African-American Artist:
Robert S. Duncanson, 1821-1872",Columbia: University of Missouri Press,1993," ISBN-13:9780826208804
ISBN-10: 0826208800"," African American Art History
Scholarly monograph Biography",,,See #194 Child of the Fire (2010),
238,B2," Shange, Ntozake, Frank Stewart,
Kamoinge Inc."," The Sweet Breath of Life: A Poetic Narrative of
the African-American Family",New York: Atria Books,2004," ISBN-13: 9780743478984
ISBN-10: 0743478975"," Photography
Poetry",,,,
239,B2," Fales, Melanie"," A Life Told Through Pictures: James Castle, Idaho Artist, 1899-1997",Boise: Boise Art Museum,2016," ISBN-13: 9780964832633
ISBN-10: 0964832631",Artist monograph Biography,,,,
240,B3," Jones, Kellie"," Energy/Experimentation: Black Artists and
Absrtraction, 1964-1980",New York: Studio Museum in Harlem,2006," ISBN-13: 9780942949315
ISBN-10: 0942949315",Exhibition catalogue,,,,
241,B3," Marsh, Michelle Dunn and Negarra
A. Kudumu, eds.",All Power: Visual Legacies of the Black Panther Party,Seattle: Minor Matters Books LLC,2016," ISBN-13: 9780990603672
ISBN-10: 0990603679"," Exhibition catalogue
African American Art History Civil Rights Movement
Black Panther Party",,,,
242,B3," Lewis, Shantrelle P.",Dandy Lion: The Black Dandy and Street Style,New York: Aperture Foundation,2017," ISBN-13: 9781597113892
ISBN-10: 1597113891"," Fashion Photography
Includes photographs by Abdul Aziz,
2023 Alma Lewis gallery artist",,,,
243,E2," Gruber, J. Richard"," American Icons: From Madison to Manhattan, the Art of Benny Andrews, 1948-1997",Augusta: Morris Museum of Art,1997," ISBN-13: 9781890021016
ISBN-10: 1890021016"," Artist monograph Exhibition catalogue
Signed by the author and artist",,,,
244,E2," Campbell, Mary Schmidt",Harlem Renaissance: Art of Black America," New York: Studio Museum in Harlem; Harry N. Abrams, Inc.",1987," ISBN-13: 9780810910997
ISBN-10: 0810910993"," Exhibition catalogue
African American Art History Harlem Renaissance",,,,
245,B3," Kennedy, Al"," Chief of Chiefs: Robert Nathaniel Lee and the
Mardi Gras Indians of New Orleans, 1915-2001",Gretna: Pelican Publishing Company,2018," ISBN-13: 9781455623792
ISBN-10: 1455623792"," African American History
Biography Mardi Gras",,,,
246,B3," Rabaka, Reiland"," The Negritude Movement: W.E.B. DuBois,
Leon Damas, Aime Cesaire, Leopold Senghor, Frantz Fanon, and the Evolution of an Insurgent Idea",Lanham: Lexington Books,2015," ISBN-13: 9781498511377
ISBN-10: 1498511376"," Black Studies
Negritude Politics History",,,,
247,B3," Smith, Vincent D.",An Ocean Apart: American Artists Abroad,New York: Studio Museum in Harlem,1982,," Exhibition catalogue
African American Art History",,,,
248,B2," Edim, Glory, ed."," Well-Read Black Girl: Finding Our Stories,
Discovering Ourselves: An Anthology",New York: Ballantine Books,2018," ISBN-13: 9780525619772
ISBN-10: 0525619771"," Anthology
Essays
Black Women's Literature",,https://www.wellreadblackgirl.com/,,
249,B2," Taylor, Keeanga-Yamahtta"," How We Get Free: Black Feminism and the
Combahee River Collective",Chicago: Haymarket Books,2017," ISBN-13: 9781608468553
ISBN-10: 1608468550"," Black Feminism
African American History",,,,
250,B2," Ball, Edward",Slaves in the Family,New York: Ballantine Books,1999," ISBN-13: 9780345431059
ISBN-10: 0345431057",African American History Biography,,,,
251,B2," Dunbar, Erica Armstrong",She Came to Slay: The Life and Times of Harriet Tubman," New York: 37 Ink, Simon & Schuster",2019," ISBN-13: 9781982139599
ISBN-10: 1982139595"," African American History Biography
Illustrated Book",,,,
252,B2," Drew, Kimberly and Jenna Wortham, eds.",Black Futures,New York: One World,2020,ISBN-13: 9780399181139 ISBN-10: 039918113X," Anthology
Black Studies History",,,,
253,B3," Childs, Adrienne L. and Christine Mullen Kreamer, eds.",Conversations: African and African American Artworks in Dialogue: From the Collections of the Smithsonian National Museum of African Art and Camille O. and William H. Cosby Jr.," Washington, DC: National Museum of African Art",2014," ISBN-13: 9780965600132
ISBN-10: 0965600130"," Exhibition catalogue African Art
African American Art Collectors",,https://conversations.africa.si.edu/,,
254,B2," Twitty, Michael W.",The Cooking Gene: A Journey Through African American Culinary History in the Old South,New York: Amistad,2017," ISBN-13: 9780062379276
ISBN-10: 0062379275"," African American History Cooking
(handwritten annotations in pen)",,,,
255,B2," Geldzahler, Henry"," Making It New: Essays, Interviews, and Talks",New York: Turtle Point Press,1994," ISBN-13: 9780962798764
ISBN-10: 0962798762"," Anthology
Essays Modern Art",,,,
256,B2," Geldzahler, Henry",New York Painting and Sculpture: 1940-1970,New York: Dutton; Metropolitan Museum of Art,1969,ISBN-13: 9780269025525 ISBN-10: 0269025529,Exhibition catalogue Modern Art Contemporary Art,,,,
257,B2," Mayer, Musa",Night Studio: A Memoir of Philip Guston,Munich: Sieveking Verlag,2016,ISBN-13: 9783944874395 ISBN-10: 3944874390,Memoir Biography,,,,
258,B3," Taylor, Susie King. Edited by Patricia W. Romero and Willie Lee Rose",A Black Woman's Civil War Memories,Princeton: Markus Wiener Publishers,2009,ISBN-13: 9780910129855 ISBN-10: 0910129851,Memoir Biography,,,,
259,B3," Ellington, Tameka N. and Joseph L. Underwood, eds.",Textures: The History and Art of Black Hair,Kent: The Kent State University Museum; Munich: Hirmer,2020,ISBN-13: 9783777435541 ISBN-10: 3777435546,Exhibition catalogue African American History African Art African Diaspora,,https://www.kent.edu/museum/event/textures-history-and-art-black-hair,,
" 260
Duplicate Book",B3," Hartman, Saidiya"," Scenes of Subjection: Terror, Slavery, and Self- Making in Nineteenth-Century America",New York; Oxford: Oxford University Press,1997," ISBN-13: 9780195089844
ISBN-10: 0195089847",African American History Black Studies,,,,
261,B3," Perry, Imani",May We Forever Stand: A History of the Black National Anthem,Chapel Hill: University of North Carolina Press,2018,ISBN-13: 9781469638607 ISBN-10: 1469638606,African American History Black Studies Music,,https://naacp.org/find-resources/history-explained/lift-every-voice-and-sing,,
262,B3," Ausherman, Maria",Behind the Camera: American Women Photographers Who Shaped How We See the World,Novato: Goff Books,2021,ISBN-13: 9781951541514 ISBN-10: 1951541510,Women artists Photography,,,,
263,B3," Campbell, Mary Schmidt",An American Odyssey: The Life and Work of Romare Bearden,New York: Oxford University Press,2018,ISBN-13: 9780195059090 ISBN-10: 0195059093,Biography African American Art History,,,,
264,B3," Moten, Fred",Black and Blur,Durham: Duke University Press,2017,ISBN-13: 9780822370161 ISBN-10: 0822370166,Black Studies African Diaspora Cultural Criticism,,,,
265,B3," Pastan, Amy and Linda Bank Downs",Diego Rivera: The Detroit Industry Murals,London: Scala,2016,ISBN-13: 9781857594331 ISBN-10: 1857594339,Modern art Detroit Mexican Muralism Public Art,,,,
266,B3," Gooden, Mario"," Dark Space: Architecture, Representation, Black Identity",New York: Columbia Books on Architecture and the City,2016,ISBN-13: 9781941332139 ISBN-10: 1941332137,Architecture Signed by the author,,,,
267,B3," Rankine, Claudia",Citizen: An American Lyric,Minneapolis: Graywolf Press,2014,ISBN-13: 9781555976903 ISBN-10: 1555976905,Poetry Essays Women artists,,,,
268,B3," Anderson, Virginia M. G., ed.",Oletha DeVane: Traces of the Spirit,Baltimore: Baltimore Museum of Art,2019,ISBN-13: 9780578480282 ISBN-10: 057848028X,Exhibition catalogue Artist monograph Women artists,,,,
269,B3," Mink, Janis"," Duchamp, 1887-1968: Art as Anti-Art",Cologne: Taschen,2000,ISBN-13: 9783822863169 ISBN-10: 3822863165,Artist monograph Modern art,,,,
270,B3," Berger, Maurice, ed.",The Crisis of Criticism,New York: The New Press,1998,ISBN-13: 9781565844179 ISBN-10: 1565844173,Anthology Essays Cultural Criticism,,,,
271,B3," Berger, Maurice",White Lies: Race and the Myths of Whiteness," New York: Farrar, Straus and Giroux",2000,ISBN-13: 9780374527150 ISBN-10: 0374527156,Memoir Race,,,,
272,B3," Alexander, Elizabeth",The Black Interior: Essays,Minneapolis: Graywolf Press,2004,ISBN-13: 9781555973933 ISBN-10: 1555973930,Essays Women artists Signed by the author,,,,
273,B3," Harney, Stefano and Fred Moten",The Undercommons: Fugitive Planning and Black Study,Wivenhoe; New York; Port Watson: Minor Compositions,2013,ISBN-13: 9781570272677 ISBN-10: 1570272670,Black Studies Essays,,,,
274,B3," Quashie, Kevin",The Sovereignty of Quiet: Beyond Resistance in Black Culture,New Brunswick: Rutgers University Press,2012,ISBN-13: 9780813553108 ISBN-10: 0813553105,Black Studies African American Literature Literary criticism,,,,
275,B3," McMillan, Uri",Embodied Avatars: Genealogies of Black Feminist Art and Performance,New York: New York University Press,2015,ISBN-13: 9781479852475 ISBN-10: 1479852473,Performance Art Women artists,,,,
276,B3," Blassingame, John W., ed."," Slave Testimony: Two Centuries of Letters, Speeches, Interviews, and Autobiographies",Baton Rouge: Louisiana State University Press,1977,ISBN-13: 9780807102732 ISBN-10: 0807102733,African American History Biography Anthology,,,,
277,B3," Crompton, Samuel Willard and Charlotte Etinde-Crompton",Alma Woodsey Thomas: Painter and Educator,New York: Enslow Publishing,2020,ISBN-13: 9781978514676 ISBN-10: 1978514670,Artist monograph Women artists,,,,
278,B3," Rankine, Claudia",Just Us: An American Conversation,Minneapolis: Graywolf Press,2020,ISBN-13: 9781644450215 ISBN-10: 1644450216,Poetry Essays Women artists Signed by the author,,,,
279,B3," Siegel, Katy",Since '45: America and the Making of Contemporary Art,London: Reaktion Books,2016,ISBN-13: 9781780235943 ISBN-10: 1780235941,Art History Contemporary Art,,,,
280,B3," Hagood, Taylor"," Secrecy, Magic, and the One-Act Plays of Harlem Renaissance Women Writers",Columbus: Ohio State University Press,2010,ISBN-13: 9780814255087 ISBN-10: 0814255086,Performance Theater Cultural Criticism Women artists,,,,
281,B3," Allen, Sarah and Yasufumi
Nakamori, eds.",Zanele Muholi,London: Tate Publishing,2020," ISBN-13: 9781849766821
ISBN-10: 1849766827"," Exhibition catalogue
Artist monograph Photography Women artists",,https://www.tate.org.uk/whats-on/tate-modern/zanele-muholi,,
282,B3," Earle, T.F. and K.J.P Lowe, eds.",Black Africans in Renaissance Europe,New York: Cambridge University Press,2010," ISBN-13: 9780521176606
ISBN-10: 0521176603"," History
Renaissance",,,,
283,B3," Mensah, Lucy and Juana Williams",Kennedy Yanko: Before Words,Chicago: Kavi Gupta; Grand Rapids: Urban Institute of Contemporary Arts,2019,," Exhibition catalogue Sculpture
Women artists",,https://www.uica. org/exhibitions/beforewords,,
284,B3," Moeller, Christopher",Iron Empires: Void,New York; Pittsburgh: Forged Lord Comics,2013," ISBN-13: 9780983645849
ISBN-10: 0983645841"," Comics Graphic Novel
Signed by the author",,,,
285,B3," Fanon, Frantz; trasnlated by Richard Philcox",The Wretched of the Earth,New York: Grove Press,2004," ISBN-13: 9780802141323
ISBN-10: 0802141323"," Black Studies History
Colonialism/Postcolonialism",,," See #389 Black Skin, White Masks (2008); #246 The Negritude Movement (2015)",
286,B3," Wells, Ida B.; edited by Alfreda M.
Duster"," Crusade for Justice: The Autobiography of Ida
B. Wells"," 2nd ed. Chicago: University of Chicago
Press",2020," ISBN-13: 9780226691428
ISBN-10: 022669142X"," Biography
African American History Women's Studies",,,,
287,B3," Cole, Robert E."," The Land of Dayaogeh: Pittsburgh and
Western Pennsylvania, 10,000 BC to 1800 AD",2nd ed. Apollo: Closson Press,2006," ISBN-13: 9781558564541
ISBN-10: 1558564543"," History
Pennsylvania Pittsburgh",,,,
288,B3," Campbell, Mary Schmidt and Randy Martin, ed.",Artistic Citizenship: A Public Voice for the Arts,New York: Routledge,2006," ISBN-13: 9780415978668
ISBN-10: 0415978661",Cultural Studies Education Public Art,,,,
289,B3," Zaczek, Iain and Julia Brown",The Art of the Icon,London: Studio Editions,1994," ISBN-13: 9781858911786
ISBN-10: 1858911788",Art History Icon Painting,,,,
290,B3," collymore, nan, ed.",The Black Aesthetic: Season III,Oakland: Wolfman Books,2020," ISBN-13: 9781733276139
ISBN-10: 1733276130"," Film Anthology
Essays",,https://www.theblkaesthetic.com/,,
291,B3," Alexander, Elizabeth",The Trayvon Generation,New York : Grand Central Publishing,2022," ISBN-13: 9781538737897
ISBN-10: 1538737892"," African American Children/Youth African American Mothers Psychology
Essays
Handwritten annotations in pencil",,,,
292,B3," Fletcher, Catherine",The Black Prince of Florence: The Spectacular Life and Treacherous World of Alessandro de' Medici,New York: Oxford University Press,2020," ISBN-13: 9780190092146
ISBN-10: 0190092149"," Biography History
Italian Renaissance",,,,
293,B3," Rankine, Claudia",The End of the Alphabet: Poems,New York: Grove Press,1998," ISBN-13: 9780802124470
ISBN-10: 080212447X"," Poetry
Women artists",,,,
294,B3," Vikram, Anuradha",Decolonizing Culture: Essays on the Intersection of Art and Politics,San Francisco: Art Pratical Books,2022," ISBN-13: 9780998500652
ISBN-10: 0998500658"," Essays
Decolonization Politics",,,,
295,C1," Jones, G. William",Black Cinema Treasures: Lost and Found,Denton: University of North Texas Press,1991," ISBN-13: 9780929398266
ISBN-10: 0929398262",Film/Cinema,,,,
296,C1," Shipman, David"," The Story of Cinema: A Complete Narrative
History from the Beginnings to the Present",New York: St. Martin's Press,1986," ISBN-13: 9780312762803
ISBN-10: 0312762801",Film/Cinema,,,,
297,E2," Newhall, Beaumont",The History of Photography: From 1839 to the Present,New York: Museum of Modern Art,1982," ISBN-13: 9780870703812
ISBN-10: 0870703811",Photography,,,,
298,E2," Willis, Deborah and Howard
Dodson"," Black Photographers Bear Witness: 100 Years
of Social Protest"," Williamstown: Williams College
Museum of Art",1982," ISBN-13: 9780913697092
ISBN-10: 0913697095"," Exhibition catalogue
Photography
African American History",,,,
299,E2," Null, Gary",Black Hollywood: The Black Peformer in Motion Pictures,Secaucus: Citadel Press,1990," ISBN-13: 9780806509082
ISBN-10: 0806509082"," Film/Cinema Performance
African American History",,,,
300,C1,East End/East Liberty Historical Society,Pittsburgh's East Liberty Valley,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,2008," ISBN-13: 9780738554891
ISBN-10: 0738554898"," History Pennsylvania
Pittsburgh",,,,
301,C1," Ciotola, Nicholas P.",Italians of Pittsburg and Western Pennsylvania,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,2005," ISBN-13: 9780738537788
ISBN-10: 0738537780",History Pennsylvania Pittsburgh,,,,
302,C1," Brewer Jr., John M.",Pittsburgh Jazz," Charleston; Chicago; Portsmouth; San
Francisco: Arcadia Publishing",2007," ISBN-13: 9780738549804
ISBN-10: 0738549800"," African American History
Pennsylvania Pittsburgh Music Performance
Signed by the author",,,,
303,C1," Brewer Jr., John M.",African Americans in Pittsburgh,Charleston; Chicago; Portsmouth; San Francisco: Arcadia Publishing,2006," ISBN-13: 9780738544878
ISBN-10: 0738544876"," African American History Pennsylvania
Pittsburgh Photography
Signed by the author",,,,
304,C1," Wright, Beryl J.",Lorna Simpson: For the Sake of the Viewer," Chicago: Museum of Contemporary
Art; New York: Universe Publishing",1992," ISBN-13: 9780876636374
ISBN-10: 0876636377"," Exhibition catalogue
Artist monograph Photography Women artists
First major publication to document the artist's work",,https://mcachicago.org/Exhibitions/1992/Lorna-Simpson-For-The-Sake-Of-The-Viewer,,
305,C1," Brewer Jr., John M.",Kingpins of Pittsburgh,Pittsburgh: John M. Brewer Jr.,2016," ISBN-13: 9780692669174
ISBN-10: 0692669175",African American History Pittsburgh,,,,
306,C1," Rugare, Steve and Terry Schwartz, eds.",Cities Growing Smaller," Cleveland: Cleveland Urban Design Collaborative, College of Architecture and Environmental Design, Kent State University",2008," ISBN-13 :  978-1607433699
ISBN-10 :  1607433699",Architecture Urbanism Urban Studies,,,,
307,C1," Rugare, Steve and Terry Schwartz, eds.",Pop Up City," Cleveland: Cleveland Urban Design Collaborative, College of Architecture and Environmental Design, Kent State
University",2009," ISBN-13: 9781607433705
ISBN-10: 1607433702",Architecture Urbanism Urban Studies,,https://www.cudc.kent.edu/pop-up-city,,
308,C1," McGee, Julie L.",Martha Jackson Jarvis: Ancestors' Bones," Newark: University of Delaware, University Museums",2012," ISBN-13: 9780615668840
ISBN-10: 0615668844",Exhibition catalogue Women artists Signed by the artist,,,,
309,E2," Proctor Jr., Ralph and John Brewer,
Jr."," Voices from the Firing Line: A Personal
Account of the Pittsburgh Civil Rights Movement",Pittsburgh: Introspec,2013," ISBN-13: 9780989869409
ISBN-10: 0989869407"," African American History
Pennsylvania Pittsburgh Photography
Civil Rights Movement",,,,
310,D3," Freed, Leonard",Leonard Freed: Black in White America: 1963– 1965,London: Reel Art Press,2020," ISBN-13: 9781909526778
ISBN-10: 1909526770"," Photobook Photography
Civil Rights Movement",,,,
311,D3," Liebert, Emily and Nadiah Rivera Fellah",Picturing Motherhood Now,Cleveland: Cleveland Museum of Art,2021," ISBN-13: 9780300260069
ISBN-10: 0300260067"," Exhibition catalogue Women artists
Motherhood and Children",,https://www.clevelandart.org/exhibitions/picturing-motherhood-now,,
312,D3," Umberger, Leslie",Between Worlds: The Art of Bill Traylor," Washington, DC: Smithsonian American Art Museum; Princeton: Princeton University Press",2018," ISBN-13: 9780691182674
ISBN-10: 0691182671"," Artist monograph Exhibition catalogue
African American Art History Folk Art
Signed by Kerry James Marshall,
writer of the introduction",,https://americanart.si. edu/exhibitions/traylor,,
313,D3," Fant, Ake; translated by Ruth Urbom",Hilma af Klint: Occult Painter and Abstract Pioneer,Stockholm: Bokförlaget Stolpe,2021," ISBN-13: 9789189069473
ISBN-10: 9189069471",Artist monograph Women artists Modern art,,,,
